gid,kind,peak_nA,ton_ms,period_ms,duty,avg_nA,true_avg_nA,rep,mode,t_ms,dev_nA,i_nA,x_nA,cal_nA,train_s,rb_nA
P11,pulse,40.0,0.25,1.0,0.25,10.0,8.620689655172415,3,1,1000,8.981,8.981,8.981,8.981,19.3721458,nan
P11,pulse,40.0,0.25,1.0,0.25,10.0,8.620689655172415,4,1,1000,8.979,8.979,8.979,8.979,19.3721458,nan
P11,pulse,40.0,0.25,1.0,0.25,10.0,8.620689655172415,5,1,1000,8.98,8.98,8.98,8.98,19.3721458,nan
D:10,dc,10.0,0.0,0.0,1.0,10.0,10.0,1,1,1000,9.999,9.999,9.999,9.999,nan,9.99874
D:10,dc,10.0,0.0,0.0,1.0,10.0,10.0,2,1,1000,9.994,9.994,9.994,9.994,nan,9.998773333333334
D:10,dc,10.0,0.0,0.0,1.0,10.0,10.0,3,1,1000,9.996,9.996,9.996,9.996,nan,9.998803333333333
D:10,dc,10.0,0.0,0.0,1.0,10.0,10.0,4,1,1000,9.995,9.995,9.995,9.995,nan,9.998809999999999
D:10,dc,10.0,0.0,0.0,1.0,10.0,10.0,5,1,1000,9.996,9.996,9.996,9.996,nan,9.99879
A3,pulse,40.0,3.0,10.0,0.3,12.0,11.811023622047244,1,1,1000,11.828,11.828,11.828,11.828,17.370364500005962,nan
A3,pulse,40.0,3.0,10.0,0.3,12.0,11.811023622047244,2,1,1000,11.875,11.875,11.875,11.875,17.370364500005962,nan
A3,pulse,40.0,3.0,10.0,0.3,12.0,11.811023622047244,3,1,1000,11.869,11.869,11.869,11.869,17.370364500005962,nan
A3,pulse,40.0,3.0,10.0,0.3,12.0,11.811023622047244,4,1,1000,11.812,11.812,11.812,11.812,17.370364500005962,nan
A3,pulse,40.0,3.0,10.0,0.3,12.0,11.811023622047244,5,1,1000,11.873,11.873,11.873,11.873,17.370364500005962,nan
D:12,dc,12.0,0.0,0.0,1.0,12.0,12.0,1,1,1000,11.993,11.993,11.993,11.993,nan,11.996550000000001
D:12,dc,12.0,0.0,0.0,1.0,12.0,12.0,2,1,1000,11.996,11.996,11.996,11.996,nan,11.99625
D:12,dc,12.0,0.0,0.0,1.0,12.0,12.0,3,1,1000,11.995,11.995,11.995,11.995,nan,11.996475
D:12,dc,12.0,0.0,0.0,1.0,12.0,12.0,4,1,1000,11.994,11.994,11.994,11.994,nan,11.996525
D:12,dc,12.0,0.0,0.0,1.0,12.0,12.0,5,1,1000,11.995,11.995,11.995,11.995,nan,11.996375
A2,pulse,40.0,4.0,10.0,0.4,16.0,15.748031496062993,1,1,1000,15.738,15.738,15.738,15.738,17.371804199996404,nan
A2,pulse,40.0,4.0,10.0,0.4,16.0,15.748031496062993,2,1,1000,15.751,15.751,15.751,15.751,17.371804199996404,nan
A2,pulse,40.0,4.0,10.0,0.4,16.0,15.748031496062993,3,1,1000,15.741,15.741,15.741,15.741,17.371804199996404,nan
A2,pulse,40.0,4.0,10.0,0.4,16.0,15.748031496062993,4,1,1000,15.748,15.748,15.748,15.748,17.371804199996404,nan
A2,pulse,40.0,4.0,10.0,0.4,16.0,15.748031496062993,5,1,1000,15.72,15.72,15.72,15.72,17.371804199996404,nan
D:16,dc,16.0,0.0,0.0,1.0,16.0,16.0,1,1,1000,15.995,15.995,15.995,15.995,nan,15.99795
D:16,dc,16.0,0.0,0.0,1.0,16.0,16.0,2,1,1000,15.996,15.996,15.996,15.996,nan,15.997675000000001
D:16,dc,16.0,0.0,0.0,1.0,16.0,16.0,3,1,1000,15.995,15.995,15.995,15.995,nan,15.997725
D:16,dc,16.0,0.0,0.0,1.0,16.0,16.0,4,1,1000,15.992,15.992,15.992,15.992,nan,15.997624999999998
